name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8414614829815384,0.015063292688686277,0.8416666666666667,0.014915347863941709
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.8406981512464194,0.015064541760491237,0.8408368644067797,0.015158703366862586
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.8464674375358555,0.014396606228079895,0.8466454802259887,0.014307210692853345
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.8430576575215171,0.015753724589363968,0.8431497175141244,0.0156572749909542
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.7015190437891322,0.021226966405280167,0.704537429378531,0.020792408993212847
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.7041344504599312,0.02588595685034743,0.7064971751412429,0.025204939782405934
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.6915988391692326,0.02808359216550086,0.6950741525423729,0.02676846553710262
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8536682316323159,0.014615441852109704,0.853954802259887,0.014518853429894717
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.8574510300932042,0.015403824949105895,0.857662429378531,0.015280167005063782
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.8600331732657541,0.013886505446652193,0.8602401129943504,0.013708389343600354
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass3,None,0.8570173875955437,0.01338739320212709,0.8572033898305084,0.013375452661077664
Concrete Tool Wear,hamming,0.3,0.5,826,20,120,0.5,2756,16,1672903143.1773875,943,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.7211154008411362,0.023192624270343028,0.7243467514124293,0.02272946656373862
