name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0031622776601683794}",0.8040613579180866,0.012983892534144236,0.8039381153305205,0.013107865559302379
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.7898200068775201,0.013396895184064752,0.7904594467885607,0.013262375120640732
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.7932724594934423,0.012689783951945519,0.7937763713080168,0.012696019145485809
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.7926672966093133,0.012747606278700073,0.7931551804969527,0.0128389111902379
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.6836073272120807,0.01669996968278436,0.6875175808720113,0.016283760129680823
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.7006953701357432,0.01783838741339521,0.7037857477730896,0.017201050264870878
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.6941151482927811,0.017408616648368166,0.6976207219878106,0.016832154524184833
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8151130501982727,0.012223675064912183,0.8154242850445382,0.012243469842285333
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.8067519850754566,0.013359974347111402,0.8073019221753398,0.01332872322403495
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.8104704458642803,0.013255654120395912,0.8109821847163621,0.01321918952568911
Concrete Tool Wear,hamming,0.2,0.5,551,20,120,0.5,2756,16,1672899124.2641613,1422,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass3,None,0.8090720887188695,0.013697732851575991,0.8095757149554619,0.013649878800480204
