name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 31.622776601683793, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.00031622776601683794}",0.8924796412733738,0.013161449015053176,0.8925317796610168,0.013157110872674446
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.8912855150735699,0.013907612332597784,0.8914194915254238,0.013855808021351302
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.8961715945218576,0.01486543287254401,0.8962570621468926,0.0148832127802672
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.8914010831263671,0.014613500968120903,0.8915783898305084,0.014546983380550134
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.7527851313801766,0.020780155413699063,0.7566737288135594,0.019719045629981974
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.7461111095215784,0.027264331634182855,0.7500176553672316,0.02604079286095056
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.7195673129638022,0.031082107943470307,0.7251588983050846,0.02926869590051862
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.00031622776601683794}",0.9068650576142336,0.013692230183152684,0.9069562146892655,0.013721071713933324
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.9134398106619218,0.013478577730360824,0.913524011299435,0.013527237744086174
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.9173468748437451,0.012465159316820544,0.917390536723164,0.012484716769302249
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass3,None,0.9134865335290598,0.012846440909762715,0.9136299435028248,0.012816580618108088
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.743517326100345,0.022264655673114083,0.7475105932203389,0.02122641444346929
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Mag,FreqControl2,FeatureScaler2,K10N,None,0.737267426288532,0.026093871238158886,0.7413488700564972,0.024659814615625456
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Mag,FreqControl2,FeatureScaler2,K15N,None,0.7179859539604184,0.03198672994603967,0.7238170903954803,0.029890651435902693
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Sq,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 31.622776601683793, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0001}",0.8802697791007955,0.016490311871272353,0.8807026836158192,0.016426428809077003
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass1,None,0.9028589895004834,0.014995490301327885,0.9029484463276837,0.014941813537931855
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass2,None,0.9052338860840234,0.014669553698676101,0.9053142655367232,0.014680424582380334
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass3,None,0.9060656381795696,0.013693782377424843,0.9062676553672316,0.013601727457558856
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Sq,FreqControl2,FeatureScaler2,K5N,None,0.7104671087303792,0.022111129675452368,0.7150953389830508,0.02136044803193425
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Sq,FreqControl2,FeatureScaler2,K10N,None,0.7074265905019473,0.028453918919532764,0.7122175141242938,0.02706885067882198
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FFT_Sq,FreqControl2,FeatureScaler2,K15N,None,0.6964110159740599,0.02965065518943534,0.7019950564971751,0.02787781367739495
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FreqControl1,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.34126659546989563,0.021988943327081952,0.35121822033898303,0.019437837699624497
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FreqControl1,FreqControl2,FeatureScaler2,MLPClass1,None,0.3393164830668319,0.018390470385739176,0.340625,0.018430300773613555
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FreqControl1,FreqControl2,FeatureScaler2,MLPClass2,None,0.33803237048617707,0.01769203310422528,0.3393008474576271,0.017773580236115975
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FreqControl1,FreqControl2,FeatureScaler2,MLPClass3,None,0.3391957258986926,0.01873151434817311,0.34041313559322034,0.018589341104846703
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FreqControl1,FreqControl2,FeatureScaler2,K5N,None,0.33776509926863274,0.029540642283260105,0.3660310734463277,0.022854093754245502
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FreqControl1,FreqControl2,FeatureScaler2,K10N,None,0.3151137738940407,0.039973308650187805,0.35307203389830505,0.02247602447060121
Concrete Tool Wear,hamming,0.3,0.5,1653,20,120,0.5,5512,8,1673010139.6481786,943,FreqControl1,FreqControl2,FeatureScaler2,K15N,None,0.2939487180788379,0.04226911084428434,0.3384357344632768,0.018754280356119323
