name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8672045188109796,0.012545208164659571,0.866924882629108,0.012674730412308934
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.8665244458455523,0.01247675847111848,0.8665258215962441,0.012538024336638101
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.8708573654265692,0.011862004432549924,0.8708568075117371,0.011903694301323143
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.8670016225413744,0.01114099841823808,0.8669483568075118,0.011214566087859073
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.7451696535956013,0.01673529482369742,0.7478169014084507,0.016325122391789983
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.7469643634458023,0.018645352384151964,0.7499765258215962,0.01816572315551431
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.7371116919353782,0.018970853461182102,0.7407276995305165,0.018246172495342498
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.880479871762738,0.01215344378478807,0.880211267605634,0.012328101243706525
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.8859233103057425,0.010669201137233532,0.8859859154929577,0.010736992718157609
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.8904983843353113,0.01213825895998051,0.8905281690140845,0.012111805979231833
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass3,None,0.886873330051482,0.011737927533750454,0.8869014084507043,0.011851926471217716
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.7571761033564393,0.017063780485487057,0.7593661971830986,0.016714191977170535
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Mag,FreqControl2,FeatureScaler2,K10N,None,0.753026724675694,0.018220258141208742,0.7555633802816902,0.017729004363334543
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Mag,FreqControl2,FeatureScaler2,K15N,None,0.7460869985962693,0.021637872064503655,0.749518779342723,0.020661541253208925
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Sq,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 100.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0001}",0.8598905698614071,0.013141038592883519,0.86037558685446,0.013094215702688065
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass1,None,0.8793656367183706,0.011446179053534374,0.8795892018779343,0.01144085676463981
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass2,None,0.8786079694369313,0.01186409319251537,0.8788849765258215,0.0119060549217039
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass3,None,0.8802496110535567,0.012380810589765765,0.8804694835680752,0.012425714375717812
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Sq,FreqControl2,FeatureScaler2,K5N,None,0.7195845982126592,0.01847313609261627,0.7227230046948356,0.018343174217675506
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Sq,FreqControl2,FeatureScaler2,K10N,None,0.7151782271018831,0.02185042572350755,0.7181690140845071,0.02139145606654587
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FFT_Sq,FreqControl2,FeatureScaler2,K15N,None,0.706297453431468,0.022404155971259165,0.7098474178403755,0.021641992649519937
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FreqControl1,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.40218441681804024,0.015609547377639865,0.4044600938967136,0.015156759114890075
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FreqControl1,FreqControl2,FeatureScaler2,MLPClass1,None,0.381826809448705,0.01612382150914119,0.38261737089201886,0.0159560493623007
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FreqControl1,FreqControl2,FeatureScaler2,MLPClass2,None,0.3840478150272289,0.01606335180737519,0.38477699530516435,0.01608379975231093
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FreqControl1,FreqControl2,FeatureScaler2,MLPClass3,None,0.37706629109428225,0.016841178601969306,0.37798122065727696,0.016924801234396297
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FreqControl1,FreqControl2,FeatureScaler2,K5N,None,0.3684332421102142,0.02407775503351111,0.39512910798122064,0.016965738131918078
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FreqControl1,FreqControl2,FeatureScaler2,K10N,None,0.34779857462254177,0.029430487460460543,0.38446009389671365,0.019700640417718865
Concrete Tool Wear,hamming,0.2,0.5,1102,20,120,0.5,5512,8,1673000277.9228847,1419,FreqControl1,FreqControl2,FeatureScaler2,K15N,None,0.3389642329347788,0.034453029090034656,0.37983568075117374,0.018732909143738097
