name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 31.622776601683793, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.00031622776601683794}",0.896530708319775,0.019940864781164996,0.89638196915777,0.019900119838783155
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.8782443645667593,0.022286729905289036,0.8782325029655991,0.022300910498519635
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.8837157779454555,0.021020087309181795,0.8836892052194543,0.021038537395737734
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.877560037805569,0.02293454481477634,0.8776393831553974,0.02299982193182835
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.6981239017219558,0.03350468658101278,0.7069098457888494,0.03132479889386776
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.6837001957394493,0.03234799266673907,0.6910142348754448,0.030787417645773286
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.6581810860618679,0.03937792705799192,0.6658066429418742,0.036797324631548174
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.00031622776601683794}",0.90954788521834,0.019612504295678318,0.9096085409252669,0.019504896236362597
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.9004186194930074,0.019793893479945795,0.9003855278766312,0.019917679443840156
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.9037380435671369,0.022003910767466786,0.9036773428232504,0.022122971383565403
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass3,None,0.8994908176634223,0.022594197001232594,0.8994958481613285,0.02263820683011246
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.6932869117072272,0.029928708464333494,0.701097271648873,0.02819221122329725
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Mag,FreqControl2,FeatureScaler2,K10N,None,0.6818848533643274,0.03156899213347659,0.6896204033214711,0.02981399191088473
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Mag,FreqControl2,FeatureScaler2,K15N,None,0.6649364025278335,0.03581167428240215,0.6723902728351128,0.03393027658071107
Concrete Tool Wear,hamming,0.5,0.5,1837,20,120,0.5,3675,12,1672963698.4569097,561,FFT_Sq,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 31.622776601683793, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0001}",0.8744705235431021,0.022720971918642828,0.8751186239620403,0.022526043072623687
