name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8695282489327535,0.01412240920339429,0.8690728945506017,0.014219594534595679
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.8633329079351403,0.01609072556200507,0.8632342533616418,0.01618233557084566
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.8674462295378844,0.01454375114962868,0.8672682236376504,0.014619863942370153
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.8651664924796771,0.014597023882262531,0.8650212314225053,0.014716358769072364
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.7243161929580616,0.020621892207747353,0.7276539278131634,0.02027195540538348
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.7239129015556397,0.023423603417267215,0.7270700636942675,0.02307601043557905
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.7058999056956257,0.027090761303875548,0.7100495399858456,0.025905719114284246
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 31.622776601683793, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8770711561319045,0.014241875694365571,0.8767338995046002,0.014369286612784846
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.8839867747086516,0.014180227272274363,0.8838995046001414,0.014231873314396895
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.8858475698743399,0.012973811471262059,0.8857395612172684,0.013056269939761557
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass3,None,0.8846124733097317,0.013868997566492876,0.8845364472753008,0.013868803684679782
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.7284959927942027,0.02088284570605576,0.7320594479830148,0.020543709901337793
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Mag,FreqControl2,FeatureScaler2,K10N,None,0.7271171870030683,0.02666805637292763,0.7304140127388535,0.02595892340054594
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Mag,FreqControl2,FeatureScaler2,K15N,None,0.7157239602936329,0.02795572334323385,0.7199752300070771,0.026844383261227962
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Sq,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 31.622776601683793, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.00031622776601683794}",0.8561496453063652,0.01661971544721542,0.8566702052370843,0.016566396673782468
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass1,None,0.8761755979661042,0.01602133890734057,0.8763800424628451,0.015832394095576616
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass2,None,0.8760126504196234,0.016980139920158288,0.8763269639065818,0.017060717373152425
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass3,None,0.8771745898241271,0.014209665480532312,0.8775300778485492,0.014178985872235227
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Sq,FreqControl2,FeatureScaler2,K5N,None,0.6908850169609523,0.022564389037218722,0.6949221514508139,0.021836384439606615
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Sq,FreqControl2,FeatureScaler2,K10N,None,0.6925652098829301,0.02471386385537936,0.6959483368719037,0.02402201342528989
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FFT_Sq,FreqControl2,FeatureScaler2,K15N,None,0.6805082578100338,0.029930354575568377,0.6847841472045294,0.02863479748516036
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FreqControl1,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 31.622776601683793, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.37743280926523043,0.02107777354582042,0.37995399858457185,0.020394686516958384
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FreqControl1,FreqControl2,FeatureScaler2,MLPClass1,None,0.36867658306102685,0.017873367196305213,0.3692675159235669,0.01781872247206308
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FreqControl1,FreqControl2,FeatureScaler2,MLPClass2,None,0.3717216865246079,0.019047046287341916,0.3723637650389243,0.018976472610118464
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FreqControl1,FreqControl2,FeatureScaler2,MLPClass3,None,0.36753368184653123,0.01999845523369802,0.3682059447983015,0.01978753105680504
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FreqControl1,FreqControl2,FeatureScaler2,K5N,None,0.3445298662369675,0.03408634930177603,0.38333333333333336,0.023678589252167953
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FreqControl1,FreqControl2,FeatureScaler2,K10N,None,0.3277168814572376,0.035725076772991776,0.37220452937013443,0.022623831354388425
Concrete Tool Wear,hamming,0.3,0.5,1102,20,120,0.5,3675,12,1672945920.623096,942,FreqControl1,FreqControl2,FeatureScaler2,K15N,None,0.31399102848413846,0.0406493050452545,0.36024416135881104,0.02296228894398576
