name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0031622776601683794}",0.8107631273200832,0.009472933026169913,0.8107843137254902,0.009447122183377989
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.7828931625481291,0.01035237610537769,0.7833800186741364,0.01017992028109788
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.7843135707262524,0.009097232178587874,0.7847572362278245,0.009011117360556322
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.7850481278986129,0.008977397426578586,0.7855567226890757,0.008877489077640261
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.7128874434141237,0.01264149666246098,0.7168592436974789,0.01211544045350735
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.7249012877499648,0.01315673511773495,0.7282854808590102,0.012562660827970069
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.7209230506607286,0.013514399717152875,0.7246440242763772,0.012839496552948687
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0031622776601683794}",0.8152021329939529,0.009200001067736703,0.8151260504201681,0.009141718115506929
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.8021145267328372,0.008763941705822568,0.802561858076564,0.008647016097212688
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.8029056479720545,0.009478859395758866,0.8033088235294118,0.009384172658461818
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass3,None,0.804474004507177,0.00906708105787144,0.8048494397759104,0.00895115893021135
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.7176480627744565,0.01301513770867858,0.7215452847805788,0.012636105687343796
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Mag,FreqControl2,FeatureScaler2,K10N,None,0.7237713299223806,0.015007207937443468,0.7278244631185807,0.014420027925882895
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Mag,FreqControl2,FeatureScaler2,K15N,None,0.7209253580051563,0.015095485994252257,0.7252217553688143,0.014445751657825379
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Sq,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.7913565593527188,0.009648312825382989,0.7925595238095239,0.009478157226725252
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass1,None,0.8006639104073433,0.00934642050228353,0.8009978991596639,0.00937419490484418
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass2,None,0.8005146324801999,0.010310239701573364,0.8008578431372549,0.010276898944064512
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Sq,FreqControl2,FeatureScaler2,MLPClass3,None,0.8013863784410893,0.010106322112628657,0.8016631652661064,0.01001321489927751
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Sq,FreqControl2,FeatureScaler2,K5N,None,0.6869506355458855,0.0127988904699984,0.6913223622782446,0.01252206316346955
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Sq,FreqControl2,FeatureScaler2,K10N,None,0.6851987296735439,0.014903912110866809,0.6896942110177403,0.014497992401886256
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FFT_Sq,FreqControl2,FeatureScaler2,K15N,None,0.6802001211540204,0.015330201973311546,0.6848856209150327,0.014876072505015889
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FreqControl1,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0031622776601683794}",0.43376322706989323,0.013229727624721823,0.43620448179271715,0.01282309579571992
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FreqControl1,FreqControl2,FeatureScaler2,MLPClass1,None,0.41014211658989524,0.012267966994150814,0.41128618113912235,0.012228858325389442
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FreqControl1,FreqControl2,FeatureScaler2,MLPClass2,None,0.411872095234212,0.013105142251379301,0.41303688141923445,0.013050718766121808
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FreqControl1,FreqControl2,FeatureScaler2,MLPClass3,None,0.4113519439933089,0.012554869780291189,0.4122549019607844,0.012646665895398831
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FreqControl1,FreqControl2,FeatureScaler2,K5N,None,0.3868603964916281,0.012967682996568301,0.40441760037348284,0.011478327977937469
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FreqControl1,FreqControl2,FeatureScaler2,K10N,None,0.37230701953172257,0.015507271575465609,0.39483543417366956,0.012834965516017443
Concrete Tool Wear,hamming,0.1,0.5,551,20,120,0.5,5512,8,1672991775.6411066,2855,FreqControl1,FreqControl2,FeatureScaler2,K15N,None,0.3669888308600881,0.017520034996317137,0.39339985994397764,0.0136819103028225
