application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,classifier,mean_score,std_dev
cap mat.,100,960,0.25,0.2,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.8935031830185649,0.0533635314222014
cap mat.,100,960,0.25,0.2,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.8557495051971271,0.0635784214317404
cap mat.,100,960,0.25,0.2,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.9191557593272046,0.050163710678023714
cap mat.,100,960,0.25,0.2,0.75,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.33817048752704976,0.20897104121058258
cap mat.,100,960,0.25,0.2,0.75,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8829396464993431,0.05325647146940343
cap mat.,100,960,0.25,0.2,0.75,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.6799101969933968,0.06126494907609592
cap mat.,100,960,0.25,0.2,0.75,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.927137931247492,0.04519909664815269
cap mat.,100,960,0.25,0.2,0.75,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.3374551142285149,0.20898504176597552
cap mat.,100,960,0.25,0.2,0.75,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.855850554422956,0.06594898275450448
cap mat.,100,960,0.25,0.2,0.75,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.862536706671592,0.06174522888225878
cap mat.,100,960,0.25,0.2,0.75,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8829375264896389,0.059295292548309474
cap mat.,100,960,0.25,0.2,0.75,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.34153028003124364,0.2106904398938162
cap mat.,100,960,0.25,0.2,0.75,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.8096116711214103,0.08064755569943124
cap mat.,100,960,0.25,0.2,0.75,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.8096116711214103,0.08064755569943124
cap mat.,100,960,0.25,0.2,0.75,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.8096116711214103,0.08064755569943124
cap mat.,100,960,0.25,0.2,0.75,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.5044489188858529,0.03732388515595052
cap wear,100,10710,0.25,0.2,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.9295865628650861,0.004379990812832155
cap wear,100,10710,0.25,0.2,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.9196950591436637,0.004159204733713484
cap wear,100,10710,0.25,0.2,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.9610200095954309,0.0033612942023575026
cap wear,100,10710,0.25,0.2,0.75,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.6117645966554168,0.005897137863377819
cap wear,100,10710,0.25,0.2,0.75,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.9045110409298913,0.004769328340776897
