application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,classifier,mean_score,std_dev
cap mat.,100,495,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.703475704868236,0.09735054269296982
cap mat.,100,495,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.6187484743652012,0.0827579158848168
cap mat.,100,495,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.7908028737767446,0.09179269631344203
cap mat.,100,495,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.2838729098743848,0.20963240032365704
cap mat.,100,495,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.7440338563400019,0.09265247329458197
cap mat.,100,495,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.597049286821777,0.057703994637404894
cap mat.,100,495,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8311043454802461,0.08549948343612623
cap mat.,100,495,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.2770180273155765,0.2059765710926325
cap mat.,100,495,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.6425262735653415,0.09236508113943048
cap mat.,100,495,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.6504782558669611,0.0923310474028574
cap mat.,100,495,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.6838816159102917,0.10114298529177691
cap mat.,100,495,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.34957416760895954,0.2636860797088559
cap mat.,100,495,0.75,0.2,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.6157447134542182,0.0818212093483018
cap mat.,100,495,0.75,0.2,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.6157447134542182,0.0818212093483018
cap mat.,100,495,0.75,0.2,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.6157447134542182,0.0818212093483018
cap mat.,100,495,0.75,0.2,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.41282688696173436,0.12131769805146465
cap wear,100,5442,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.8871724444028365,0.005630781514210814
cap wear,100,5442,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.8940440221798355,0.003602987286846431
cap wear,100,5442,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.9013867603772252,0.006192200760171092
cap wear,100,5442,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.49527020953157086,0.02224010930707339
cap wear,100,5442,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.862125864242255,0.0057827324085581115
cap wear,100,5442,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.8409248692867146,0.010519014535391419
cap wear,100,5442,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8988551782074353,0.005479852554843295
cap wear,100,5442,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.5790630838272712,0.008968374926830903
cap wear,100,5442,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8959780247130625,0.004325570919362688
cap wear,100,5442,0.75,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.8955566692806507,0.004245810136143426
cap wear,100,5442,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.9136489886354763,0.004608672062502842
cap wear,100,5442,0.75,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.3844979720767686,0.1391217195851828
cap wear,100,5442,0.75,0.2,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.9495072206623694,0.004078739051226574
cap wear,100,5442,0.75,0.2,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.9495072206623694,0.004078739051226574
cap wear,100,5442,0.75,0.2,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.9495072206623694,0.004078739051226574
