application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,classifier,mean_score,std_dev
cap mat.,100,2070,0.25,0.05,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.7719580333215734,0.024850264051970297
cap mat.,100,2070,0.25,0.05,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.7274375363260072,0.02342326184375369
cap mat.,100,2070,0.25,0.05,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.8091897979454332,0.022211481355426093
cap mat.,100,2070,0.25,0.05,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.33419077104730455,0.1931849823580309
cap mat.,100,2070,0.25,0.05,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.7048246256880749,0.024359723628500737
cap mat.,100,2070,0.25,0.05,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.6610612588905245,0.024660836473634012
cap mat.,100,2070,0.25,0.05,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.7702010489199,0.02510783651164955
cap mat.,100,2070,0.25,0.05,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.33419077104730455,0.1931849823580309
cap mat.,100,2070,0.25,0.05,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8049683282907384,0.025256711421696394
cap mat.,100,2070,0.25,0.05,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.7670355488318076,0.02321906200200198
cap mat.,100,2070,0.25,0.05,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8145663525624659,0.02541344090795112
cap mat.,100,2070,0.25,0.05,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.6251466269727162,0.022775254695478996
cap mat.,100,2070,0.25,0.05,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.7829313044244743,0.02591098553717964
cap mat.,100,2070,0.25,0.05,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.7829313044244743,0.02591098553717964
cap mat.,100,2070,0.25,0.05,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.7829313044244743,0.02591098553717964
cap mat.,100,2070,0.25,0.05,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.6085671170652338,0.026974712048716532
cap wear,100,22290,0.25,0.05,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.9226433019570288,0.0030601353094740647
cap wear,100,22290,0.25,0.05,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.911447874331982,0.003292086267800685
cap wear,100,22290,0.25,0.05,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.9613994862542761,0.0021672762287302492
cap wear,100,22290,0.25,0.05,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.8022097786416899,0.004283769248419173
cap wear,100,22290,0.25,0.05,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.889875614853177,0.003816718538835124
cap wear,100,22290,0.25,0.05,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.8495169604750403,0.004561158968333773
cap wear,100,22290,0.25,0.05,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.9483938707410613,0.0030217906493290093
cap wear,100,22290,0.25,0.05,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.8529119797761514,0.0037616435996242884
