application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,classifier,mean_score,std_dev
cap mat.,100,1290,0.25,0.15,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.840505863525189,0.04020063493796967
cap mat.,100,1290,0.25,0.15,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.8038751923722579,0.050533902687623124
cap mat.,100,1290,0.25,0.15,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.8727205074545716,0.04087053378222626
cap mat.,100,1290,0.25,0.15,0.75,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.3098035006918964,0.21011948328257438
cap mat.,100,1290,0.25,0.15,0.75,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8045988080234342,0.03956522262216882
cap mat.,100,1290,0.25,0.15,0.75,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.6537081588144354,0.04062546987553394
cap mat.,100,1290,0.25,0.15,0.75,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8695261723774668,0.04221128223451388
cap mat.,100,1290,0.25,0.15,0.75,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.3045455381579291,0.2082861458484876
cap mat.,100,1290,0.25,0.15,0.75,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8283717493298778,0.04709454888331057
cap mat.,100,1290,0.25,0.15,0.75,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.823399929370427,0.04843717404812739
cap mat.,100,1290,0.25,0.15,0.75,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.845716078719311,0.04264121238584548
cap mat.,100,1290,0.25,0.15,0.75,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.3445655492383281,0.23714636041960055
cap mat.,100,1290,0.25,0.15,0.75,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.826543604184545,0.04898043091449798
cap mat.,100,1290,0.25,0.15,0.75,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.826543604184545,0.04898043091449798
cap mat.,100,1290,0.25,0.15,0.75,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.826543604184545,0.04898043091449798
cap mat.,100,1290,0.25,0.15,0.75,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.5344786254630286,0.035152190648676335
cap wear,100,14338,0.25,0.15,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.9297676919705111,0.0036093726854023863
cap wear,100,14338,0.25,0.15,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.9202263816287217,0.0036858497573962414
cap wear,100,14338,0.25,0.15,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.9633312848456659,0.002703204382902601
