application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,mean_score,std_dev
cap mat.,100,670,0.25,0.1,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.7480623297238409,0.06672915413898385
cap mat.,100,670,0.25,0.1,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.7195818136737232,0.06050097882422144
cap mat.,100,670,0.25,0.1,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.8208570578629817,0.05830772207357628
cap mat.,100,670,0.25,0.1,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.23661217817997152,0.20588438238461618
cap mat.,100,670,0.25,0.1,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.7092896399091999,0.056909194578661636
cap mat.,100,670,0.25,0.1,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.5912334757364319,0.049377145852112905
cap mat.,100,670,0.25,0.1,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.8123964766564985,0.05328429736940789
cap mat.,100,670,0.25,0.1,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.23661217817997152,0.20588438238461618
cap mat.,100,670,0.25,0.1,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.7556966997343639,0.07511649746178868
cap mat.,100,670,0.25,0.1,0.25,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.759915619694433,0.06442339091196517
cap mat.,100,670,0.25,0.1,0.25,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.7932506436964779,0.061035572439036276
cap mat.,100,670,0.25,0.1,0.25,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.23661217817997152,0.20588438238461618
cap mat.,100,670,0.25,0.1,0.25,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.7395077200934349,0.06881502419971502
cap mat.,100,670,0.25,0.1,0.25,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.7395077200934349,0.06881502419971502
cap mat.,100,670,0.25,0.1,0.25,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.7395077200934349,0.06881502419971502
cap mat.,100,670,0.25,0.1,0.25,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.5040310698251678,0.0445861524941259
