application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,mean_score,std_dev
cap mat.,100,375,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.7621576171410305,0.1541451968504101
cap mat.,100,375,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.6762486709831488,0.15171397453230556
cap mat.,100,375,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.8702062094133004,0.14089480558023726
cap mat.,100,375,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.16605479247564858,0.2268154398816331
cap mat.,100,375,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.7780692868571083,0.1254584951050216
cap mat.,100,375,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.640513369475267,0.10964254851285492
cap mat.,100,375,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.8954203231821987,0.10724767626660779
cap mat.,100,375,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.16605479247564858,0.2268154398816331
cap mat.,100,375,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.731917644316936,0.1586929074520008
cap mat.,100,375,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.727906345026199,0.16286043877502113
cap mat.,100,375,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.7316036399031627,0.16302409489309555
cap mat.,100,375,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.16605479247564858,0.2268154398816331
cap mat.,100,375,0.25,0.25,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.642967179428797,0.1353565059140039
cap mat.,100,375,0.25,0.25,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.642967179428797,0.1353565059140039
cap mat.,100,375,0.25,0.25,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.642967179428797,0.1353565059140039
cap mat.,100,375,0.25,0.25,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.4730809288920149,0.05732070427250432
cap wear,100,4260,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.915927459879664,0.008148756750461906
cap wear,100,4260,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.9097781490657312,0.00810900366192746
cap wear,100,4260,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.935795701369206,0.007430698318025459
cap wear,100,4260,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.7041494815853064,0.1307742282146984
cap wear,100,4260,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.8888739474060183,0.008662266924522906
cap wear,100,4260,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.863263485423961,0.009788811601792308
cap wear,100,4260,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.9319182074201742,0.008195517334968403
cap wear,100,4260,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.7432461910484086,0.010101586227616265
cap wear,100,4260,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.9251420282871878,0.008257262408458418
cap wear,100,4260,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.9168171305260315,0.008224548640787099
cap wear,100,4260,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.9484934575304023,0.005715071940853371
cap wear,100,4260,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.44458827915846116,0.043584342249117294
cap wear,100,4260,0.25,0.25,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.969785117624581,0.004672526437020815
cap wear,100,4260,0.25,0.25,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.969785117624581,0.004672526437020815
cap wear,100,4260,0.25,0.25,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.969785117624581,0.004672526437020815
cap wear,100,4260,0.25,0.25,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.9077992054649642,0.007305539335335836
sg mat.,100,385,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.49930258876036393,0.048232758748225975
sg mat.,100,385,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.49683621490724833,0.04715165527648295
sg mat.,100,385,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.5007274477428998,0.04782897151707672
sg mat.,100,385,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.42780023158794633,0.07633459899011234
sg mat.,100,385,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.4902510006041985,0.04485506241067213
sg mat.,100,385,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.49474648431592,0.04696571246424346
sg mat.,100,385,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.5001844717001976,0.04775656310083441
sg mat.,100,385,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.1519009391209568,0.20434078853172802
sg mat.,100,385,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.5011776213224988,0.0477972321769301
sg mat.,100,385,0.25,0.25,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.5005090993773652,0.04788621458300049
sg mat.,100,385,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.5020318098739791,0.04785804970743519
sg mat.,100,385,0.25,0.25,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.487802681545695,0.04525701237864244
