application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,mean_score,std_dev
cap mat.,100,245,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.6096657182856885,0.21335557238909017
cap mat.,100,245,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.6096657182856885,0.21335557238909017
cap mat.,100,245,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.6096657182856885,0.21335557238909017
cap mat.,100,245,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.27373846418732783,0.23848384429143998
cap mat.,100,245,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.6096657182856885,0.21335557238909017
cap mat.,100,245,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.5476368477402427,0.15907586648592087
cap mat.,100,245,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.6769421135127217,0.23801746786785286
cap mat.,100,245,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.27373846418732783,0.23848384429143998
cap mat.,100,245,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.6096657182856885,0.21335557238909017
cap mat.,100,245,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.6096657182856885,0.21335557238909017
cap mat.,100,245,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.6096657182856885,0.21335557238909017
cap mat.,100,245,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.27373846418732783,0.23848384429143998
cap mat.,100,245,0.25,0.25,0.25,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.6096657182856885,0.21335557238909017
cap mat.,100,245,0.25,0.25,0.25,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.6096657182856885,0.21335557238909017
cap mat.,100,245,0.25,0.25,0.25,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.6096657182856885,0.21335557238909017
cap mat.,100,245,0.25,0.25,0.25,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.5587845890567903,0.1263445221979338
cap wear,100,2792,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.9069157031939925,0.010519660882482898
cap wear,100,2792,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.9069548133420124,0.00962016190969807
cap wear,100,2792,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.9236549745583007,0.010201475319914985
cap wear,100,2792,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.51682257477035,0.017229867585095832
cap wear,100,2792,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.8810798836279327,0.011949815326424017
cap wear,100,2792,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.85517560338413,0.01165664458649064
cap wear,100,2792,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.9191669659835432,0.010697992786115473
cap wear,100,2792,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.6236683431835953,0.012492036180659891
cap wear,100,2792,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.915984507882826,0.009549398292960328
cap wear,100,2792,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.9133629287665805,0.008589013326374968
cap wear,100,2792,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.9362492926728074,0.008853710847625108
cap wear,100,2792,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.5117298287037659,0.03271132845782567
cap wear,100,2792,0.25,0.25,0.25,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.9645865615826019,0.006141212082004476
cap wear,100,2792,0.25,0.25,0.25,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.9645865615826019,0.006141212082004476
cap wear,100,2792,0.25,0.25,0.25,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.9645865615826019,0.006141212082004476
cap wear,100,2792,0.25,0.25,0.25,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.8982840421849655,0.0099855926453786
sg mat.,100,260,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.4964465169640134,0.054944625714395526
sg mat.,100,260,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.4951875178726987,0.055985554697027755
sg mat.,100,260,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.49812124391240964,0.055831718558362116
sg mat.,100,260,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.27330587900665526,0.2293612556371716
sg mat.,100,260,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.4844893663002959,0.05077683400623372
sg mat.,100,260,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.4888422494486372,0.056870671254109904
sg mat.,100,260,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.49789729544741,0.05527047455151291
sg mat.,100,260,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.17066159978000545,0.16349214181748425
sg mat.,100,260,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.4979900075710209,0.057390587963015
sg mat.,100,260,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.49983267015037874,0.06089659006760189
sg mat.,100,260,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.49822093773217524,0.05697475896584297
sg mat.,100,260,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.47744754264744976,0.04827081866798196
sg mat.,100,260,0.25,0.25,0.25,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.4989096584461937,0.05774339862790543
sg mat.,100,260,0.25,0.25,0.25,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.4989096584461937,0.05774339862790543
sg mat.,100,260,0.25,0.25,0.25,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.4989096584461937,0.05774339862790543
sg mat.,100,260,0.25,0.25,0.25,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.423145692725936,0.03525340419260849
sg wear,100,2788,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.8879707175366413,0.01205485824631709
sg wear,100,2788,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.855115163837538,0.012900042306020487
sg wear,100,2788,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.8878055804892724,0.011918864000287297
sg wear,100,2788,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.47503074280382324,0.020807696587992162
sg wear,100,2788,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.8400783535290378,0.013478334385300448
sg wear,100,2788,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.7882158498017175,0.014205262326836169
sg wear,100,2788,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.8603337789710782,0.013065311754499995
sg wear,100,2788,0.25,0.25,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.3049905637019011,0.04752193523601699
sg wear,100,2788,0.25,0.25,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.884101358194043,0.012455100702222983
