application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,mean_score,std_dev
sg mat.,100,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.5896918598132891,0.031683447350228516
sg mat.,100,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.17076007111834976,0.18956033765006877
sg mat.,100,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.591615001183779,0.031696156671943886
sg mat.,100,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.5905696265555956,0.03175703621427762
sg mat.,100,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.5912459301172521,0.03177670459331916
sg mat.,100,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.5832922453331677,0.03043644843535132
sg mat.,100,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.5891344280430005,0.0315502314996323
sg mat.,100,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.5891344280430005,0.0315502314996323
sg mat.,100,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.5891344280430005,0.0315502314996323
sg mat.,100,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.5677096862742826,0.029439666793387352
sg wear,100,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.91124003104361,0.005119745172428104
sg wear,100,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.9015222492368186,0.004856599121114481
sg wear,100,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.9232840500851238,0.003933407234556631
sg wear,100,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.47406223799882485,0.007767536746182721
sg wear,100,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.8679408699832106,0.005942895909157543
sg wear,100,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.8444212196481636,0.005848901830157513
sg wear,100,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.8991849649078767,0.004343839685526998
sg wear,100,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.3852425341199325,0.009637235158538223
sg wear,100,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.9123257895239231,0.0048661298075734745
sg wear,100,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.8969475600002045,0.005558732098081387
sg wear,100,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.9218056664656316,0.004195699141742863
sg wear,100,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.5596914758521253,0.007750353642001847
sg wear,100,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.952524208556305,0.0031510560577560063
sg wear,100,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.952524208556305,0.0031510560577560063
sg wear,100,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.952524208556305,0.0031510560577560063
sg wear,100,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.5460789632075316,0.009176109071694343
