application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,classifier,mean_score,std_dev
cap mat.,100,431,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.7551774511673525,0.10498869769223969
cap mat.,100,431,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.7081656173932912,0.11635572867258519
cap mat.,100,431,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.8376372693236243,0.09487494371918326
cap mat.,100,431,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.3776913895235735,0.18601046812460673
cap mat.,100,431,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.7527448535829923,0.0891962774426962
cap mat.,100,431,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.5843437729354838,0.08179616500076997
cap mat.,100,431,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8406607008964412,0.08850514893913357
cap mat.,100,431,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.3733389540902885,0.18584741515586078
cap mat.,100,431,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.7547940332243864,0.1079567210979481
cap mat.,100,431,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.743197922039578,0.10433632808897021
cap mat.,100,431,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.7552735722641348,0.1093246578999925
cap mat.,100,431,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.3922316990860086,0.19207374674927463
cap mat.,100,431,0.25,0.15,0.25,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.7252860519962674,0.12415181517121317
cap mat.,100,431,0.25,0.15,0.25,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.7252860519962674,0.12415181517121317
cap mat.,100,431,0.25,0.15,0.25,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.7252860519962674,0.12415181517121317
cap mat.,100,431,0.25,0.15,0.25,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.4659730890707914,0.06965513176918821
cap wear,100,4780,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.9069302124128049,0.007775846646892235
cap wear,100,4780,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.9039684437648876,0.007612418027206398
cap wear,100,4780,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.9337983212708677,0.007066041919761893
cap wear,100,4780,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.6253302772026987,0.07243474580551476
cap wear,100,4780,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8848263429273102,0.00872394678117569
cap wear,100,4780,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.8552094936050446,0.0099195752684141
cap wear,100,4780,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.9306976226046152,0.007120928469701934
cap wear,100,4780,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.767483301715429,0.009237237501080815
cap wear,100,4780,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.9173272596424398,0.007173050038762592
cap wear,100,4780,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.9075629999169054,0.007530326826551214
cap wear,100,4780,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.9439348853905172,0.006075775576845172
cap wear,100,4780,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.44542466042623796,0.05198175857987509
cap wear,100,4780,0.25,0.15,0.25,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.9654507123434716,0.004271531433163867
cap wear,100,4780,0.25,0.15,0.25,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.9654507123434716,0.004271531433163867
cap wear,100,4780,0.25,0.15,0.25,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.9654507123434716,0.004271531433163867
cap wear,100,4780,0.25,0.15,0.25,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.913975288509785,0.007472935861386056
sg mat.,100,459,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.5713374411868175,0.04709791911209255
sg mat.,100,459,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.5723874546057611,0.04761731090685722
sg mat.,100,459,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.5731194469865837,0.046690058081982656
sg mat.,100,459,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.5340696525034744,0.05172875494371531
sg mat.,100,459,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.5637868745846886,0.04665495905545776
sg mat.,100,459,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.5694488042110837,0.04741753070536325
sg mat.,100,459,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.5731194469865837,0.046690058081982656
sg mat.,100,459,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.2556019675794425,0.21767802527028893
sg mat.,100,459,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.5716714819651664,0.047140614297173526
sg mat.,100,459,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.5716207188890697,0.04730172979615978
sg mat.,100,459,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.5745178647106264,0.046817703946975917
sg mat.,100,459,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.5618661425349354,0.04650866965826526
sg mat.,100,459,0.25,0.15,0.25,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.5701442292377696,0.04630441682245148
sg mat.,100,459,0.25,0.15,0.25,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.5701442292377696,0.04630441682245148
sg mat.,100,459,0.25,0.15,0.25,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.5701442292377696,0.04630441682245148
sg mat.,100,459,0.25,0.15,0.25,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.5338073367759697,0.041980810103875756
sg wear,100,4801,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.8979965322429178,0.007707575196242275
sg wear,100,4801,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.8795002916485666,0.008579956365210565
sg wear,100,4801,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.8960143268891663,0.008659011160530573
sg wear,100,4801,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.45913702025581576,0.014327659772130385
sg wear,100,4801,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8535972142631106,0.007938459961392943
sg wear,100,4801,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.809624617702265,0.00880426582119363
sg wear,100,4801,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8706254724966285,0.009567576257439736
sg wear,100,4801,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.34785766456139894,0.023659598475435365
sg wear,100,4801,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8949606137703203,0.008003708519801499
sg wear,100,4801,0.25,0.15,0.25,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.8780162587284833,0.007869114017392044
sg wear,100,4801,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8908494261091999,0.008820622041241535
sg wear,100,4801,0.25,0.15,0.25,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.5548388530068307,0.012757626244617107
sg wear,100,4801,0.25,0.15,0.25,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.9456228966908179,0.005940294514987712
sg wear,100,4801,0.25,0.15,0.25,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.9456228966908179,0.005940294514987712
sg wear,100,4801,0.25,0.15,0.25,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.9456228966908179,0.005940294514987712
sg wear,100,4801,0.25,0.15,0.25,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.4646109015316299,0.02101098107773525
