application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,mean_score,std_dev
cap mat.,100,2010,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.8619587233556275,0.028418200626452093
cap mat.,100,2010,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.81769452928377,0.030626061187534977
cap mat.,100,2010,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.8920695049126572,0.024233876637203007
cap mat.,100,2010,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.33479662874398514,0.20114600696476403
cap mat.,100,2010,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.7840130495524535,0.028542614706517935
cap mat.,100,2010,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.6829505873690697,0.029401001175665045
cap mat.,100,2010,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.8535357497748612,0.02423775245692225
cap mat.,100,2010,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.33479662874398514,0.20114600696476403
cap mat.,100,2010,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.8857524010432922,0.02580101931592004
cap mat.,100,2010,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.8626640360331059,0.02927139930021307
cap mat.,100,2010,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.9011055136045595,0.026126339096305948
cap mat.,100,2010,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.6143649083427233,0.09091355473983327
cap mat.,100,2010,0.25,0.1,0.75,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.8439373898051149,0.027807357642621596
cap mat.,100,2010,0.25,0.1,0.75,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.8439373898051149,0.027807357642621596
cap mat.,100,2010,0.25,0.1,0.75,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.8439373898051149,0.027807357642621596
cap mat.,100,2010,0.25,0.1,0.75,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.6037746002818758,0.03612438144651783
cap wear,100,21942,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.9324245083788872,0.0028173392982397258
cap wear,100,21942,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.919652750693605,0.0028816171126647646
cap wear,100,21942,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.96748758603416,0.0024966050107297784
cap wear,100,21942,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.8058822222230702,0.0036987263338730883
cap wear,100,21942,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.9005979218610105,0.0037868855919852215
cap wear,100,21942,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.8601584794005316,0.004359236594893502
cap wear,100,21942,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.9541073204166313,0.002707595725244188
cap wear,100,21942,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.8568286870047885,0.0035905863520244597
cap wear,100,21942,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.9443924541739573,0.002700754710317777
cap wear,100,21942,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.9248162409929381,0.0030050289942083457
cap wear,100,21942,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.9725002735480293,0.002036006707103057
cap wear,100,21942,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.7544244472577867,0.0043429866698881745
cap wear,100,21942,0.25,0.1,0.75,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.9717109106474932,0.0019534695468692046
cap wear,100,21942,0.25,0.1,0.75,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.9717109106474932,0.0019534695468692046
cap wear,100,21942,0.25,0.1,0.75,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.9717109106474932,0.0019534695468692046
cap wear,100,21942,0.25,0.1,0.75,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.9470163826625745,0.0024431076942656193
sg mat.,100,2189,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.5937767857736052,0.021957837407689494
sg mat.,100,2189,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.5933446648293311,0.021856820787526522
sg mat.,100,2189,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.5933178005777355,0.021906170790307333
sg mat.,100,2189,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.5807216000367714,0.021597581997018767
sg mat.,100,2189,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.5906641832190896,0.02191666264838793
sg mat.,100,2189,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.590896417380582,0.021912746584906714
sg mat.,100,2189,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.5923355725789478,0.021927969543002614
sg mat.,100,2189,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.313341178322577,0.20887649541916659
sg mat.,100,2189,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.5948766876912971,0.02179567257396223
sg mat.,100,2189,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.5947154244159899,0.021812548777644138
sg mat.,100,2189,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.5944353635308122,0.021830893764969928
sg mat.,100,2189,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.5886541757001813,0.021912364047266958
sg mat.,100,2189,0.25,0.1,0.75,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.5912417732159213,0.021761666280155443
sg mat.,100,2189,0.25,0.1,0.75,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.5912417732159213,0.021761666280155443
sg mat.,100,2189,0.25,0.1,0.75,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.5912417732159213,0.021761666280155443
sg mat.,100,2189,0.25,0.1,0.75,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.5777652465547892,0.021463518358635025
sg wear,100,22525,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.927937225044616,0.003095006706353838
sg wear,100,22525,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.9197962007083611,0.0032001269951615857
sg wear,100,22525,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.9358492916644416,0.0028480868785167607
sg wear,100,22525,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.49152909943656714,0.005634318234223441
sg wear,100,22525,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.8872995926559597,0.003792545193219508
sg wear,100,22525,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.8738501429204258,0.004055526599489712
sg wear,100,22525,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.9177727342982078,0.0029922963322265126
sg wear,100,22525,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.3685263874390231,0.018866776825651858
sg wear,100,22525,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.9274403927948451,0.0030230356533882995
sg wear,100,22525,0.25,0.1,0.75,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.9160037175970891,0.003274252379477719
sg wear,100,22525,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.9355868102133016,0.00295261798177083
sg wear,100,22525,0.25,0.1,0.75,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.5756654675362044,0.006078310918915017
sg wear,100,22525,0.25,0.1,0.75,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.9587135659519964,0.002218726110445871
sg wear,100,22525,0.25,0.1,0.75,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.9587135659519964,0.002218726110445871
