application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,classifier,mean_score,std_dev
cap mat.,100,1370,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.7215762952657857,0.03496025209490884
cap mat.,100,1370,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.6875122549387409,0.03147659849743258
cap mat.,100,1370,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.7629574598520469,0.031189697711939114
cap mat.,100,1370,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.20043343897696597,0.19182355759745046
cap mat.,100,1370,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.6696914220233725,0.03275444651280045
cap mat.,100,1370,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.634606868834993,0.029835672723127878
cap mat.,100,1370,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.7300541580919899,0.0328456776728683
cap mat.,100,1370,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.20043343897696597,0.19182355759745046
cap mat.,100,1370,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.741234664450237,0.03443882597968246
cap mat.,100,1370,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.704915505812358,0.03332100815403775
cap mat.,100,1370,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.7639946368521509,0.03417478372363015
cap mat.,100,1370,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.3679812599673628,0.2050466139753536
cap mat.,100,1370,0.25,0.05,0.25,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.747113849261314,0.03623159917081806
cap mat.,100,1370,0.25,0.05,0.25,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.747113849261314,0.03623159917081806
cap mat.,100,1370,0.25,0.05,0.25,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.747113849261314,0.03623159917081806
cap mat.,100,1370,0.25,0.05,0.25,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.5697187164900863,0.03141501414140152
cap wear,100,14802,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.9179482789843343,0.00412866430289599
cap wear,100,14802,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.9054272421446331,0.004428041379687852
cap wear,100,14802,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.9553764113342956,0.0036806723993873802
cap wear,100,14802,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.6726776536135602,0.00552371565350905
cap wear,100,14802,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.882964604461567,0.004545408578675085
cap wear,100,14802,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.8498873693082676,0.005263039747905016
cap wear,100,14802,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.9415991836811574,0.0037446548884271613
cap wear,100,14802,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.8516214882905573,0.00494996497092224
cap wear,100,14802,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.9309370659592058,0.003792389829788827
cap wear,100,14802,0.25,0.05,0.25,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.9113294507686581,0.004726438930442724
cap wear,100,14802,0.25,0.05,0.25,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.9588418734443985,0.0032037636730430264
