application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,classifier,mean_score,std_dev
cap mat.,100,4110,0.25,0.05,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.7786588934855962,0.01763946319620332
cap mat.,100,4110,0.25,0.05,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.7439045078539954,0.01808920524271205
cap mat.,100,4110,0.25,0.05,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.8147893851904818,0.017650719943388824
cap mat.,100,4110,0.25,0.05,0.75,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.25528308270107586,0.20332200090292907
cap mat.,100,4110,0.25,0.05,0.75,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.7121760585669287,0.01734527482038987
cap mat.,100,4110,0.25,0.05,0.75,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.6688744132574753,0.017267872189375075
cap mat.,100,4110,0.25,0.05,0.75,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.7745150224289662,0.018300757872447216
cap mat.,100,4110,0.25,0.05,0.75,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.25528308270107586,0.20332200090292907
cap mat.,100,4110,0.25,0.05,0.75,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8068334050484026,0.01732152827934178
cap mat.,100,4110,0.25,0.05,0.75,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.7742150635364347,0.0178947880055372
cap mat.,100,4110,0.25,0.05,0.75,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.829422961784729,0.018334064226525826
cap mat.,100,4110,0.25,0.05,0.75,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.628278279058588,0.016731131810418378
cap mat.,100,4110,0.25,0.05,0.75,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.7927632959435518,0.020094131950446674
cap mat.,100,4110,0.25,0.05,0.75,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.7927632959435518,0.020094131950446674
cap mat.,100,4110,0.25,0.05,0.75,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.7927632959435518,0.020094131950446674
cap mat.,100,4110,0.25,0.05,0.75,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.6586027126149806,0.019135020341059017
cap wear,100,44406,0.25,0.05,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.9335978089782121,0.0021039018455990995
cap wear,100,44406,0.25,0.05,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.9208714598121821,0.0021990662193914646
