application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,classifier,mean_score,std_dev
cap mat.,100,495,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.8331147767638691,0.05100088355108126
cap mat.,100,495,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.7473915401104021,0.07676556829147543
cap mat.,100,495,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.8860166299443831,0.04935975008429843
cap mat.,100,495,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.3407988467186127,0.20386580043217986
cap mat.,100,495,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8394747406747863,0.045831943625233885
cap mat.,100,495,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.6566786983059271,0.05637981890064561
cap mat.,100,495,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.9023975200807776,0.0437576239717914
cap mat.,100,495,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.3407988467186127,0.20386580043217986
cap mat.,100,495,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.7794950816781665,0.07059794869380985
cap mat.,100,495,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.7841298667892801,0.06745924819259483
cap mat.,100,495,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8306732306489484,0.0565326394294683
cap mat.,100,495,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.3407988467186127,0.20386580043217986
cap mat.,100,495,0.5,0.2,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.7346620068611946,0.08469793300889415
cap mat.,100,495,0.5,0.2,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.7346620068611946,0.08469793300889415
cap mat.,100,495,0.5,0.2,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.7346620068611946,0.08469793300889415
cap mat.,100,495,0.5,0.2,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.4731160224547588,0.05876032301343323
cap wear,100,5442,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.905715373646168,0.004839773445585983
cap wear,100,5442,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.903975078311719,0.004534351586870556
cap wear,100,5442,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.9236325743649503,0.004978969617624969
cap wear,100,5442,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.5673500420726536,0.06583258157279309
cap wear,100,5442,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.881795859165493,0.005258724564241118
cap wear,100,5442,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.8534074985047856,0.0068866572175199665
cap wear,100,5442,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.9213416983399596,0.005065348702446357
cap wear,100,5442,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.6801314284402686,0.009252643452983841
cap wear,100,5442,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.9137339333895901,0.004559523439001898
cap wear,100,5442,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.9088863008874047,0.0043711868641844185
cap wear,100,5442,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.9343951909539905,0.004819223706645846
cap wear,100,5442,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.4767831127520138,0.057252799513573295
cap wear,100,5442,0.5,0.2,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.9652651748057163,0.0028417374139256524
cap wear,100,5442,0.5,0.2,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.9652651748057163,0.0028417374139256524
cap wear,100,5442,0.5,0.2,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.9652651748057163,0.0028417374139256524
cap wear,100,5442,0.5,0.2,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.9019144711519522,0.004243235984172411
sg mat.,100,502,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.5302250648475731,0.025329601511869887
sg mat.,100,502,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.5295401857940315,0.025340797860617235
sg mat.,100,502,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.5309590455653959,0.02553675818295617
sg mat.,100,502,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.4231679149935826,0.12395267077876902
sg mat.,100,502,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.5236374466299301,0.02480260050935853
sg mat.,100,502,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.5279793292963292,0.024961768527511512
sg mat.,100,502,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.5302855518118583,0.02543592751505817
sg mat.,100,502,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.27810148539875557,0.2310904398982426
sg mat.,100,502,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.535338292535808,0.025816222277907433
sg mat.,100,502,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.5326858414077222,0.026227448550103425
sg mat.,100,502,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.5358470606847362,0.025726534823153655
sg mat.,100,502,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.5237764950055427,0.025076291919720415
sg mat.,100,502,0.5,0.2,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.5301478762144611,0.02537663918636463
sg mat.,100,502,0.5,0.2,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.5301478762144611,0.02537663918636463
sg mat.,100,502,0.5,0.2,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.5301478762144611,0.02537663918636463
sg mat.,100,502,0.5,0.2,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.4867405550620496,0.021345597947848932
sg wear,100,5347,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.8903236956463916,0.0055231118962554135
sg wear,100,5347,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.8654348277355949,0.00630141477423859
sg wear,100,5347,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.8945407613674733,0.006218044689436141
sg wear,100,5347,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.46427119331671807,0.010080062117744695
sg wear,100,5347,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8401861679772913,0.006165822546315086
sg wear,100,5347,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.7962704644243449,0.007494455338620114
sg wear,100,5347,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.867195911041386,0.00620687419554424
sg wear,100,5347,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.3208582284050038,0.05586638941110725
sg wear,100,5347,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8885852353390209,0.005658597758204385
sg wear,100,5347,0.5,0.2,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.8647472777388936,0.006616169533420159
sg wear,100,5347,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.8863098563341519,0.006488448384420553
sg wear,100,5347,0.5,0.2,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.558050225316237,0.023468509051713937
sg wear,100,5347,0.5,0.2,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.9470315596858676,0.003784881200874741
sg wear,100,5347,0.5,0.2,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.9470315596858676,0.003784881200874741
sg wear,100,5347,0.5,0.2,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,rbf_svm,0.9470315596858676,0.003784881200874741
sg wear,100,5347,0.5,0.2,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,rbf_svm,0.39309059775865407,0.03589556149077074
