application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,classifier,mean_score,std_dev
cap mat.,100,650,0.25,0.15,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,rbf_svm,0.7648961226469828,0.06467555208119026
cap mat.,100,650,0.25,0.15,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,rbf_svm,0.7063034053553229,0.07959430894426772
cap mat.,100,650,0.25,0.15,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,rbf_svm,0.8214861270346416,0.0567469297018149
cap mat.,100,650,0.25,0.15,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,rbf_svm,0.3076598028913427,0.2142278941414522
cap mat.,100,650,0.25,0.15,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,rbf_svm,0.7526356443134183,0.05943816992344071
cap mat.,100,650,0.25,0.15,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,rbf_svm,0.5688450335142149,0.05027178786144829
cap mat.,100,650,0.25,0.15,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,rbf_svm,0.8315338784113098,0.06094442780530744
cap mat.,100,650,0.25,0.15,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,rbf_svm,0.3076598028913427,0.2142278941414522
cap mat.,100,650,0.25,0.15,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,rbf_svm,0.7211989770035879,0.08056383597448083
cap mat.,100,650,0.25,0.15,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,rbf_svm,0.746240004780449,0.07273382639639646
cap mat.,100,650,0.25,0.15,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,rbf_svm,0.7812905735677623,0.06213771706896846
cap mat.,100,650,0.25,0.15,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,rbf_svm,0.3076598028913427,0.2142278941414522
cap mat.,100,650,0.25,0.15,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,rbf_svm,0.7230334544445788,0.09081245536193426
cap mat.,100,650,0.25,0.15,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,rbf_svm,0.7230334544445788,0.09081245536193426
