application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,mean_score,std_dev
cap mat.,100,735,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.7256772541425036,0.1447158041295956
cap mat.,100,735,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.6815967109299901,0.14069234064090583
cap mat.,100,735,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.8796127592699038,0.11778971450155479
cap mat.,100,735,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.2417878854856766,0.24812871730990807
cap mat.,100,735,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.7450849267456536,0.1362459116409295
cap mat.,100,735,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.6487552522671186,0.10235192680310894
cap mat.,100,735,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.8943587051448972,0.105512890539962
cap mat.,100,735,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.2417878854856766,0.24812871730990807
cap mat.,100,735,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.7180485602606089,0.14866212396868791
cap mat.,100,735,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.7229464899806746,0.15221673366641927
cap mat.,100,735,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.7305884300653195,0.14288415100272306
cap mat.,100,735,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.24796578421970658,0.25086855549988046
cap mat.,100,735,0.25,0.25,0.75,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.6532864136694113,0.1459962654267954
cap mat.,100,735,0.25,0.25,0.75,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.6532864136694113,0.1459962654267954
cap mat.,100,735,0.25,0.25,0.75,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.6532864136694113,0.1459962654267954
cap mat.,100,735,0.25,0.25,0.75,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.4940803216208712,0.043573578784070206
cap wear,100,8376,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.9297228192509359,0.004674394522410011
cap wear,100,8376,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.920782566578102,0.0045779941293470254
cap wear,100,8376,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.9593442246135756,0.0045400612790279975
cap wear,100,8376,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.5892341957849039,0.006817676231469258
cap wear,100,8376,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.9015399562639114,0.005668985573645853
cap wear,100,8376,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.8747362401015434,0.005846275729334675
cap wear,100,8376,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.9488594588858945,0.004617976083645405
cap wear,100,8376,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.8603394598526728,0.006067225604810769
cap wear,100,8376,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.9395736845316597,0.00434311383576188
cap wear,100,8376,0.25,0.25,0.75,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.9266724386584303,0.004614169902208332
cap wear,100,8376,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.967007546017222,0.0037554096148306004
cap wear,100,8376,0.25,0.25,0.75,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.5628344517544874,0.025537813707635422
cap wear,100,8376,0.25,0.25,0.75,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.9789884200734673,0.0026781686369528207
